domain,category_short,entry,notes
knowledge,info,info,
knowledge,nart,nart,
knowledge,synon,synonyms,
knowledge,waisgen,waisgeneral,
knowledge,waisgen,waisgeneralknowledge,alt name
knowledge,waisvoc,waisvocab,
language,bnt,bnt,
language,bnt,bostonnamingtest,alt name
language,lang,language,
fluency,categ,categories,
fluency,fluency,fluency,
 memory,bst,bostonstory,
 memory,drecall,delayedrecall,
 memory,digitsf,digitsforward,
 memory,figmem,figurememory,
 memory,logmem,logicalmemory,
 memory,wldelay,wordlistdelay,
 memory,wlimmed,wordlistimmed,
 memory,wlrecog,wordlistrecog,
 memory,mirrecall,mirrecall,
 memory,prose,proserecall,
 memory,prose,prose,
workmemory,exec,executive,
workmemory,trailsb,trailsb,
vsreasoning,block,block,
vsreasoning,figlog,figurelogic,
vsreasoning,matrix,matrices,
vsreasoning,matrix,raven,alt name
vsreasoning,rotat,rotations,
vsreasoning,spatab,lpsspatialability,
vsreasoning,spatab,ipsspatialability,alt name
vsreasoning,waispic,waispicturecompletion,
vsreasoning,line,line,
,,lineorientation,alt name
vsreasoning,vsreas,visuospatial,
,,reasoning,alt name
vsreasoning,reas,reasoning,
speed,symbol,symbol,
,,codingtask,alt name
speed,figid,figureid,
speed,numcom,numbercomp,
speed,patcom,patterncomp,
speed,psif,psif,
speed,speed,speed,
mental,3ms,3ms,
mental,mmse,mmse,
mental,clock,clock,
mental,serial7,serial7,
mental,tics,tics,
mental,mental,mental,
